title,authors,year,journal,url,crop,locations,data_modalities,methods,evaluation_metrics,in_season_prediction,citations,weather_features,soil_features,satellite_features,other_features,yield_resolution
A deep learning approach to conflating heterogeneous geospatial data for corn yield estimation: A case study of the US Corn Belt at the county level,"['H Jiang', 'H Hu', 'R Zhong', 'J Xu', 'J Huang', 'S Wang', 'Y Ying', 'T Lin']",2020.0,Global change biology (Wiley),[url](https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.14885),['Corn'],['USA'],"['Satellite', 'Crop phenology', 'Weather']","['LSTM', 'LASSO', 'RF']","['R²', 'RMSE']",True,259.0,"['growing degree days (GDD)', 'killing degree days (KDD)', 'precipitation']",,['wide dynamic range vegetation index (WDRVI)'],['Growing stages (phenology)'],['County']
A deep learning multi-layer perceptron and remote sensing approach for soil health based crop yield estimation,"['A. Tripathi', 'R. K. Tiwari', 'S. P. Tiwari']",2022.0,International Journal of Applied Earth Observation and Geoinformation (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S1569843222001546),['Wheat'],['India'],"['Satellite', 'Soil']","['OLS', 'ANN', 'RF', 'decision tree', 'KNN', 'ridge regression (RR)', 'support vector regression (SVR)']","['MAE', 'RMSE', 'R²']",False,114.0,,"['Soil moisture', 'temperature(?)', 'electrical conductivity', 'organic carbon content', 'pH']","['normalised differential moisture index (NDMI)', 'NDSI']",,['District']
A million kernels of truth: Insights into scalable satellite maize yield mapping and yield gap analysis from an extensive ground dataset in the US Corn Belt,"['JM Deines', 'R Patel', 'SZ Liang', 'W Dado', 'D Lobell']",2021.0,Remote Sensing of Environment (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0034425720305472),['Maize'],['USA'],"['Satellite', 'Weather', 'Farm management']","['Scalable Crop Yield Mapper (SCYM)', 'RF', 'historic yield as predictor']","['RMSE', 'MAE', 'R²']",False,153.0,"['precipitation', 'vapor pressure deficit', 'solar radiation', 'maximum temperature']",,['GCVI'],"['Planting dates', 'Harvest dates', 'sowing date']","['Pixel/Subfield', '5m', 'County', 'Field']"
A Multimodal Data Fusion and Deep Neural Networks Based Technique for Tea Yield Estimation in Pakistan Using Satellite Imagery,"['Z Ramzan', 'H Asif', 'I Yousuf', 'M Shahbaz']",2023.0,IEEE Access,[url](https://ieeexplore.ieee.org/abstract/document/10110955),['Tea'],['Pakistan'],"['Satellite', 'Weather']","['decision tree', 'support vector regression (SVR)', 'Gaussian Process Regression (GPR)', 'multiple linear regression (MLR)', 'RF', 'gradient boosting (GB)', 'XGBoost', 'DNN', 'ANN']","['R²', 'MAE', 'MSE', 'RMSE', 'MAPE']",False,41.0,"['minimum temperature', 'maximum temperature', 'precipitation', 'humidity', 'mean temperature']",,['NDVI'],,['Farm']
A Multi–Task 3D–ResNet–BiLSTM transfer learning approach for winter wheat yield prediction using multi–source remote sensing data: Evaluating the impact of source crop selection (corn and soybean) in transfer learning,"['M Fathi', 'R Hosseini', 'H Arefi', 'A Moghimi']",2025.0,Remote Sensing Applications: Society and Environment (Elsevier),[url](https://www.sciencedirect.com/science/article/abs/pii/S2352938525003192),['Wheat'],['USA'],"['Satellite', 'Soil', 'Weather']","['3D-ResNet-BiLSTM', 'RF', 'SVM', 'XGBoost', 'Light GBM']","['RMSE', 'MAE', 'MAPE', 'R²', 'Willmott’s index of agreement']",False,0.0,"['minimum temperature', 'maximum temperature', 'vapor pressure', 'precipitation']","['cation exchange capacity', 'pH', 'clay content', 'silt content', 'sand content']","['visible bands (RGB)', 'Red Edge', 'NIR', 'SWIR', 'NDVI', 'wide dynamic range vegetation index (WDRVI)', 'DVI', 'Land Surface Water Index (LSWI)', 'SAVI', 'GNDVI', 'RVI', 'VV', 'VH (Sentinel 1)', 'VH-VV difference']",,['County']
A new integrated neurosymbolic approach for crop-yield prediction using environmental data and satellite imagery at field scale,"['K Meghraoui', 'T Racharak', 'K Ait El Kadi', 'S Bensiali', 'I Sebari']",2025.0,Artificial Intelligence in Geosciences (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S2666544125000218),['Maize'],['East Africa'],"['Satellite', 'Soil', 'Weather']",['neurosymbolic model'],"['MSE', 'RMSE', 'MAE']",False,2.0,"['actual evapotranspiration', 'palmer drought severity index', 'Potential Evapotranspiration (PET)', 'precipitation', 'solar radiation', 'minimum temperature', 'maximum temperature', 'runoff', 'vapor pressure deficit', 'climate water deficit', 'wind speed']","['bulk density', 'cation exchange capacity', 'nitrogen content', 'coarse fragments']","['Red Edge', 'SWIR', 'NIR', 'visible bands (RGB)']",,['Field']
Adaptive fusion of multi-modal remote sensing data for optimal sub-field crop yield prediction,"['F Mena', 'D Pathak', 'H Najjar', 'C Sanchez', 'P Helber', 'B Bischke', 'et al.']",2025.0,Remote Sensing of Environment (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S003442572400573X),"['Soybean', 'Wheat', 'Rapeseed']","['Germany', 'Uruguay', 'Argentina']","['Satellite', 'Soil', 'Weather', 'Topography']","['multi-modal gated fusion model', 'LSTM', 'multi-modal fusion approaches from other work']","['R²', 'MAE', 'MAPE']",False,34.0,"['mean temperature', 'minimum temperature', 'maximum temperature', 'accumulated precipitation']","['cation exchange capacity', 'coarse fragments', 'clay content', 'nitrogen content', 'pH', 'sand content', 'silt content', 'organic carbon content']","['visible bands (RGB)', 'NIR', 'SWIR', 'Red Edge', 'coastal aerosol', 'water vapour', 'scene classification (SCL)']","['aspect (ASP)', 'curvature (CURV)', 'digital surface model', 'slope (SLOP)', 'topographic wetness index']","['Pixel/Subfield', '10m', 'Field']"
An artificial intelligence approach to prediction of corn yields under extreme weather conditions using satellite and meteorological data,"['N Kim', 'S Na', 'C Park', 'M Huh', 'J Oh', 'K Ha', 'et al.']",2020.0,Applied Sciences (MDPI),[url](https://www.mdpi.com/2076-3417/10/11/3785),['Corn'],['USA'],"['Satellite', 'Weather', 'Soil']","['MARS', 'RF', 'SVM', 'ANN', 'DNN', 'extremely randomized trees']","['RMSE', 'GCV', 'Correlation', 'MBE', 'MAE', 'MAPE']",False,49.0,"['maximum temperature', 'precipitation']",['Soil moisture'],"['LAI', 'gross primary production (GPP)', 'EVI']",,['County']
Analysis and forecasting of Australian rice yield using phenology-based aggregation of satellite and weather data,"['J Brinkhoff', 'A Clarke', 'B Dunn', 'M Groat']",2024.0,Agricultural and Forest Meteorology (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168192324001709),['Rice'],['Australia'],"['Satellite', 'Farm management', 'Weather']","['ridge regression (RR)', 'Light GBM']","['bias', 'RMSE', 'relative RMSE (RRMSE)', 'Lin’s concordance correlation coefficient (LCCC)']",True,16.0,"['minimum temperature', 'maximum temperature', 'solar radiation', 'minimum temperature threshold (Tmin<threshold)']",,"['visible bands (RGB)', 'Red Edge', 'SWIR', 'NIR', 'GRVI', 'GNDVI', 'NDVI', 'NDRE', 'CIG', 'CIRE', 'LSWI', 'MNDWI', 'VH (Sentinel 1)', 'VV (Sentinel 1)']","['sowing method', 'sowing date', 'Crop variety', 'Ponding date', 'Flowering date', 'panicle initiation (PI) date', 'Field cropping history']","['Field', 'Farm']"
"Annual 30 m soybean yield mapping in Brazil using long-term satellite observations, climate data and machine learning","['X Song', 'H Li', 'P Potapov', 'M Hansen']",2022.0,Agricultural and Forest Meteorology (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168192322003732),['Soybean'],['Brazil'],"['Satellite', 'Weather', 'Topography', 'Soil']",['RF'],"['RMSE', 'MBE', 'MAE', 'R²']",False,21.0,"['mean temperature', 'diurnal temperature', 'precipitation', 'vapor pressure', 'wet days', 'cloud cover', 'minimum temperature', 'maximum temperature', 'Potential Evapotranspiration (PET)']","['available water content', 'bulk density', 'cation exchange capacity', 'clay content', 'silt content', 'sand content', 'pH', 'organic carbon content']","['NDVI', 'EVI', 'NDWI']","['elevation', 'DEM']",['Municipality']
